Average Time taken to sort results_datasize_500_mean_2.0_variance_0.5.csv: 47.1074 milliseconds
Best Time taken to sort Bestresults_datasize_500_mean_2.0_variance_0.5.csv: 0.3684 milliseconds
Worst Time taken to sort Worstresults_datasize_500_mean_2.0_variance_0.5.csv: 70.6867 milliseconds
********************************************************************************

Average Time taken to sort results_datasize_500_mean_2.0_variance_0.75.csv: 39.2855 milliseconds
Best Time taken to sort Bestresults_datasize_500_mean_2.0_variance_0.75.csv: 0.2665 milliseconds
Worst Time taken to sort Worstresults_datasize_500_mean_2.0_variance_0.75.csv: 77.8483 milliseconds
********************************************************************************

Average Time taken to sort results_datasize_500_mean_3.0_variance_0.25.csv: 42.2101 milliseconds
Best Time taken to sort Bestresults_datasize_500_mean_3.0_variance_0.25.csv: 0.3543 milliseconds
Worst Time taken to sort Worstresults_datasize_500_mean_3.0_variance_0.25.csv: 75.6761 milliseconds
********************************************************************************

Average Time taken to sort results_datasize_500_mean_3.0_variance_0.5.csv: 46.9294 milliseconds
Best Time taken to sort Bestresults_datasize_500_mean_3.0_variance_0.5.csv: 0.3147 milliseconds
Worst Time taken to sort Worstresults_datasize_500_mean_3.0_variance_0.5.csv: 75.6494 milliseconds
********************************************************************************

Average Time taken to sort results_datasize_500_mean_3.0_variance_0.75.csv: 39.216 milliseconds
Best Time taken to sort Bestresults_datasize_500_mean_3.0_variance_0.75.csv: 0.3114 milliseconds
Worst Time taken to sort Worstresults_datasize_500_mean_3.0_variance_0.75.csv: 67.7244 milliseconds
********************************************************************************

Average Time taken to sort results_datasize_100_mean_1.0_variance_0.25.csv: 4.6634 milliseconds
Best Time taken to sort Bestresults_datasize_100_mean_1.0_variance_0.25.csv: 0.0347 milliseconds
Worst Time taken to sort Worstresults_datasize_100_mean_1.0_variance_0.25.csv: 1.3028 milliseconds
********************************************************************************

Average Time taken to sort results_datasize_100_mean_1.0_variance_0.5.csv: 0.6639 milliseconds
Best Time taken to sort Bestresults_datasize_100_mean_1.0_variance_0.5.csv: 0.051 milliseconds
Worst Time taken to sort Worstresults_datasize_100_mean_1.0_variance_0.5.csv: 1.3943 milliseconds
********************************************************************************

Average Time taken to sort results_datasize_100_mean_1.0_variance_0.75.csv: 0.7225 milliseconds
Best Time taken to sort Bestresults_datasize_100_mean_1.0_variance_0.75.csv: 0.0363 milliseconds
Worst Time taken to sort Worstresults_datasize_100_mean_1.0_variance_0.75.csv: 1.2343 milliseconds
********************************************************************************

Average Time taken to sort results_datasize_100_mean_2.0_variance_0.25.csv: 0.8525 milliseconds
Best Time taken to sort Bestresults_datasize_100_mean_2.0_variance_0.25.csv: 0.0366 milliseconds
Worst Time taken to sort Worstresults_datasize_100_mean_2.0_variance_0.25.csv: 1.9131 milliseconds
********************************************************************************

Average Time taken to sort results_datasize_100_mean_2.0_variance_0.5.csv: 0.7216 milliseconds
Best Time taken to sort Bestresults_datasize_100_mean_2.0_variance_0.5.csv: 0.0364 milliseconds
Worst Time taken to sort Worstresults_datasize_100_mean_2.0_variance_0.5.csv: 1.3088 milliseconds
********************************************************************************

Average Time taken to sort results_datasize_100_mean_2.0_variance_0.75.csv: 1.4971 milliseconds
Best Time taken to sort Bestresults_datasize_100_mean_2.0_variance_0.75.csv: 0.0348 milliseconds
Worst Time taken to sort Worstresults_datasize_100_mean_2.0_variance_0.75.csv: 1.4896 milliseconds
********************************************************************************

